NomeCliente;EnderecoCompleto;ValorFatura;NumeroPaginas
Cliente Ficticio 461;R BENEDITO LINO DE SOUZA,   103 - FAZENDA GRANDE - JUNDIAI - SP ;11864;3;
Cliente Ficticio 472;C A VICENTE PIRES,227,RUA 08 CH 227 LT3 - TAGUATINGA - BRASILIA - DF ;20888;3;
Cliente Ficticio 554;R PRFA ANALIA ALVES TEIXEIRA,  2231 - JARDIM TROPICAL - FRANCA - SP ;11996;3;
Cliente Ficticio 570;R PREF JOAO BATISTA STOCO,  1609, BL 1, APT 301 - SAO GABRIEL - COLOMBO - PR ;19045;3;
Cliente Ficticio 572;R PEREIRA NUNES,114,BL A AP 1203 A - TIJUCA - RIO DE JANEIRO - RJ ;40079;3;
Cliente Ficticio 594;R DO IMPERADOR,   544 - VILA PAIVA - SAO PAULO - SP ;11982;3;
Cliente Ficticio 605;R EUSTAQUIO ORMAZABAL,  2078, APT 101 - BELA VISTA - URUGUAIANA - RS ;22358;3;
Cliente Ficticio 614;R VALE MACHADO,  1726, APT 203 - CENTRO - SANTA MARIA - RS ;19651;3;
Cliente Ficticio 658;AL PRES ROOSEVELT,281 - JARDIM CARIOCA - NOVA IGUACU - RJ ;13961;3;
Cliente Ficticio 661;R ALAGOAS,    79 - SAUDE - MOGI MIRIM - SP ;18621;3;
Cliente Ficticio 666;R DES FRANCISCO FERREIRA,733 - VILA OLIVEIRA - MOGI DAS CRUZES - SP ;28251;3;
Cliente Ficticio 687;R RIO GUAPORE,30,QD 20 - GRANDE TERCEIRO - CUIABA - MT ;11175;3;
Cliente Ficticio 722;R RAFAEL ALVES,   138, CASA 2 - VILA REGINA - SAO PAULO - SP ;25329;3;
Cliente Ficticio 724;R CAMPEIRO MOR,260,CS 40 - SANTA CRUZ - RIO DE JANEIRO - RJ ;14035;3;
Cliente Ficticio 747;R CARLOS GOMES,    24, ED AZUL II, BL 02, APT 13 - PARQUE SAO VICENTE - SAO VICENTE - SP ;23531;3;
Cliente Ficticio 768;R S MATHEUS,   511 - LAURO DE FREITAS - LAURO DE FREITAS - BA ;39788;3;
Cliente Ficticio 826;R AUSTRIA,152,CASA 2 - JARDIM DAS NACOES - DIADEMA - SP ;15779;3;
Cliente Ficticio 836;GRANJA DO TORTO, QD B, LT 15 - GRANJA DO TORTO - BRASILIA - DF ;6404;3;
Cliente Ficticio 844;R VESPASIANO,   445, APT 143 - VILA ROMANA - SAO PAULO - SP ;49499;3;
Cliente Ficticio 847;R ANTONIO MAXIMO,    23 - JARDIM RUBI - SOROCABA - SP ;8405;3;
Cliente Ficticio 857;AV GUARAPARI,   626, APT 101 - SANTA AMELIA - BELO HORIZONTE - MG ;13999;3;
Cliente Ficticio 887;R DR CARRAO,   570 - VL STOS DUMONT - FRANCA - SP ;15653;3;
Cliente Ficticio 962;AV N SRA DA ASSUNCAO,  1307 - VILA BUTANTA - SAO PAULO - SP ;26190;3;
Cliente Ficticio 993;AL N SRA DO SAGRADO CORACAO,  1514, CASA 2 - PINHEIRINHO - CURITIBA - PR ;20202;3;
Cliente Ficticio 1055;R TEODORA JOAQUINA DE MOURA MONTEIRO,    95 - GRANJAS SANTA TEREZINHA - TAUBATE - SP ;23368;3;
Cliente Ficticio 1069;R GUARANI,50 - VILA JARDINI - SOROCABA - SP ;13219;3;
Cliente Ficticio 1100;R PIRAJA,   605, CASA 6 - MOOCA - SAO PAULO - SP ;8968;3;
Cliente Ficticio 1114;R RIBEIRAO CAETE,   348 - ALTOS DA VILA PAIVA - SAO JOSE DOS CAMPOS - SP ;21532;3;
Cliente Ficticio 1177;R CECILIA SIGRIST,    30 - DIC VI (CJ HAB STO D SILVA) - CAMPINAS - SP ;22851;3;
Cliente Ficticio 1239;R DR ARMANDO BARBEDO,   299 - TRISTEZA - PORTO ALEGRE - RS ;18890;3;
Cliente Ficticio 1271;R ALVARENGA PEIXOTO,   435, APT 701 - LOURDES - BELO HORIZONTE - MG ;61207;3;
Cliente Ficticio 1287;AV ONZE DE JUNHO,  1291, BL A, APT 121 - VILA CLEMENTINO - SAO PAULO - SP ;18481;3;
Cliente Ficticio 1288;R TOMAS VELASCO,    38 - JARDIM DAS ESMERALDAS - SAO PAULO - SP ;23454;3;
Cliente Ficticio 1296;R JORN ORION AUGUSTO PLATT,   247, BL 7, APT 204 - JARDIM ATLANTICO - FLORIANOPOLIS - SC ;17825;3;
Cliente Ficticio 1359;R MURIRI,     5, / A, CASA 1 - ENGENHEIRO GOULART - SAO PAULO - SP ;15707;3;
Cliente Ficticio 1463;AV MIRO VETORAZZO,  1000, BL 9, APT 84 - DEMARCHI - SAO BERNARDO DO CAMPO - SP ;23986;3;
Cliente Ficticio 1472;R DR HONORATO DE MOURA,   172 - VILA SAO VICENTE - SAO PAULO - SP ;4915;3;
Cliente Ficticio 1501;R ITAXAMA,57 - VILA MANGALOT - SAO PAULO - SP ;7678;3;
Cliente Ficticio 1553;R ANTONIO GUIMARAES,    41 - BOTAFOGO - CAMPINAS - SP ;23125;3;
Cliente Ficticio 1635;R JURERE TRADICIONAL,   973 - JURERE - FLORIANOPOLIS - SC ;10471;3;
Cliente Ficticio 1665;R MEXICO,   217, CASA 3 - JARDIM DAS NACOES - GUARULHOS - SP ;35305;3;
Cliente Ficticio 1692;R DONATO DA FONSECA,    44, APT 202 - CORACAO DE JESUS - BELO HORIZONTE - MG ;38565;3;
Cliente Ficticio 1726;R GUARARAPES,   202, ED ILHAS CANÁRIAS, APT 402 - JARDIM HIGIENOPOLIS - LONDRINA - PR ;24046;3;
Cliente Ficticio 1746;R DR HEITOR PEREIRA CARRILHO,   185 - VILA ALBERTINA - SAO PAULO - SP ;2254;3;
Cliente Ficticio 1809;R GEN RONDON,   271, CASA 2 - SANTA EUGENIA - NOVA IGUACU - RJ ;9214;3;
Cliente Ficticio 1838;R ABILIO CABRINI,   105 - PARQUE DAS ACACIAS - MARILIA - SP ;18117;3;
Cliente Ficticio 1846;R OLDEMBURGO DA SILVA PARANHOS,1008,BL02 AP 102 - FAROL - MACEIO - AL ;43323;3;
Cliente Ficticio 1917;R ARACATUBA,   231 - SANTA MARIA - SANTO ANDRE - SP ;19732;3;
Cliente Ficticio 1925;R BOCOROCA,    93 - VILA MIRA - SAO PAULO - SP ;28295;3;
Cliente Ficticio 1934;R SAMARITA,    67 - JARDIM DAS LARANJEIRAS - SAO PAULO - SP ;21508;3;
Cliente Ficticio 1983;R ALFENAS,  1266 - CAMPANARIO - DIADEMA - SP ;21397;3;
Cliente Ficticio 1990;R VAHIA DE ABREU,   160, BL VILA RICA GARDEN, APT 53 - BOQUEIRAO - SANTOS - SP ;42316;3;
Cliente Ficticio 2001;R IBRAHIM HABIB,   139 - CITY BUSSOCABA - OSASCO - SP ;12054;3;
Cliente Ficticio 2010;R FELIPENSES,   145, CASA 3 - I.A.P.I. - OSASCO - SP ;12428;3;
Cliente Ficticio 2057;R FR JERONIMO DA GRACA,   327, FD - JARDIM FARIA LIMA - SAO PAULO - SP ;3610;3;
Cliente Ficticio 2098;R ARTUR ROCHA,  1067, APT 201 - AUXILIADORA - PORTO ALEGRE - RS ;31630;3;
Cliente Ficticio 2110;R DR LUIS DE FARIA,126,APT 11 - GONZAGA - SANTOS - SP ;32265;3;
Cliente Ficticio 2121;AV ANTONIO COZZI,   952 - JD RES DR LESSA - PINDAMONHANGABA - SP ;11625;3;
Cliente Ficticio 2143;R DO CATETE,246,CASA 4 - VILA LEOPOLDINA - DUQUE DE CAXIAS - RJ ;17516;3;
Cliente Ficticio 2200;R MARANHAO,5,QD 53 - CPA II - CUIABA - MT ;9153;3;
Cliente Ficticio 2203;R JOAQUIM LIRIO,   456, ED COSTA DO SOL, APT 1005 - PRAIA DO CANTO - VITORIA - ES ;5289;3;
Cliente Ficticio 2206;R IGARITE,   188 - VILA NOVA CAROLINA - SAO PAULO - SP ;18577;3;
Cliente Ficticio 2269;R PENAFIEL,   100, APT 601 - ANCHIETA - BELO HORIZONTE - MG ;32352;3;
Cliente Ficticio 2322;R FRANCISCO REY PARRADO,    78 - VILA ANHANGUERA - SAO PAULO - SP ;25372;3;
Cliente Ficticio 2341;R ALFREDO SOARES PITRES,   256, APT 103 - SALGADO FILHO - GRAVATAI - RS ;20380;3;
Cliente Ficticio 2407;R JOSE VICENTE DE BARROS,  2710, BL A, APT 15 - PARQUE SANTO ANTONIO - TAUBATE - SP ;8472;3;
Cliente Ficticio 2429;R QUARTZO ROSA (RES V MELHOR), 99999, BL 87, QD 36, APT 101 - LAGOA AZUL - MANAUS - AM ;3722;3;
Cliente Ficticio 2434;AV DR MARIO CLAPIER URBINATI,   724, BL L, APT 26, - ZONA 7 - MARINGA - PR ;16980;3;
Cliente Ficticio 2489;R FERNANDO FERREIRA DE MELLO,478,AP 41 - BOM ABRIGO - FLORIANOPOLIS - SC ;36069;3;
Cliente Ficticio 2493;AV PRES COSTA E SILVA,293,BLOCO 90 - BOQUEIRAO - PRAIA GRANDE - SP ;961;3;
Cliente Ficticio 2502;R JOAO DE MIRANDA,    26, CASA 3 - JARDIM NORMA - SAO PAULO - SP ;16419;3;
Cliente Ficticio 2590;R ANTONIO ALONSO GONZALEZ,   515, ED TWICE BAHIA, APT 163 - JARDIM LAS PALMAS - GUARUJA - SP ;14493;3;
Cliente Ficticio 2644;R ALAGOAS,  1560, ED RIVER SIDE RESIDENCE, APT 304. - CENTRO - LONDRINA - PR ;16537;3;
Cliente Ficticio 2658;R MEM DE SA,   361 - ZONA 02 - MARINGA - PR ;12180;3;
Cliente Ficticio 2692;R GUARARAPES,    37 - TUCURA - MOGI MIRIM - SP ;3403;3;
Cliente Ficticio 2729;COND QUINTAS ALVORADA, AVN RIO TIETE, LT 04 - LAGO SUL - BRASILIA - DF ;18598;3;
Cliente Ficticio 2759;R DOS DOURADOS,354 - JARDIM PARQUE JUPIA - PIRACICABA - SP ;25811;3;
Cliente Ficticio 2856;R MINEIRA,   386, FU 1 - CONCEICAO - OSASCO - SP ;7905;3;
Cliente Ficticio 2892;R CD DE ASSUMAR,   185, CASA 01 - VILA NIVI - SAO PAULO - SP ;16616;3;
Cliente Ficticio 2911;R DR GUILHERME MALET GUIMARAES,   287 - VILA TEIXEIRA MARQUES - LIMEIRA - SP ;16134;3;
Cliente Ficticio 2931;R DOS PINHEIROS,  1033, APT 8 - PINHEIROS - SAO PAULO - SP ;28831;3;
Cliente Ficticio 2950;R RIO TOCANTINS,    27 - ELDORADO - SERRA - ES ;12843;3;
Cliente Ficticio 2963;QS, QD 12, CJ 04B, CASA 26 - RIACHO FUNDO - BRASILIA - DF ;23029;3;
Cliente Ficticio 3006;R DES JORGE FONTANA,   200, APT 402, AX A - BELVEDERE - BELO HORIZONTE - MG ;37899;3;
Cliente Ficticio 3010;R PE JOSE VIEIRA DE MATOS,   740, BL B, APT 51 - CJ HAB PE M NOBREGA - SAO PAULO - SP ;14438;3;
Cliente Ficticio 3027;AV BENTO SIMAO,   202 - SAO BENTO - BELO HORIZONTE - MG ;22640;3;
Cliente Ficticio 3037;R DA MOOCA,  4935 - MOOCA - SAO PAULO - SP ;7519;3;
Cliente Ficticio 3064;R HORACIO DE CARVALHO (VL FLORIDA),   552, FD 03 - TABOAO - SAO BERNARDO DO CAMPO - SP ;19712;3;
Cliente Ficticio 3143;AV ARY BARROSO,    91 - JARDIM ROSINA - MAUA - SP ;9269;3;
Cliente Ficticio 3160;R SD ALMIR BERNARDO,    16 - VILA MOREIRA - GUARULHOS - SP ;25828;3;
Cliente Ficticio 3276;AV DOS ITALIANOS,   936, BL 2, APT 205 - ROCHA MIRANDA - RIO DE JANEIRO - RJ ;13074;3;
Cliente Ficticio 3310;R DAS ORQUIDEAS,   336, APT 203 - BOSQUE DA SAUDE - CUIABA - MT ;19423;3;
Cliente Ficticio 3325;AV CIDADE JARDIM,  4430, FD - JARDIM PORTUGAL - SAO JOSE DOS CAMPOS - SP ;9227;3;
Cliente Ficticio 3388;R FRANCISCO EUGENIO MUSSIELLO,1121,APARTAMENTO 402 - JARDIM DA PENHA - VITORIA - ES ;24632;3;
Cliente Ficticio 3405;R CDOR GUMERCINDO BARRANQUEIROS,    60, BL 2, APT 64 - STA TERESA - JUNDIAI - SP ;17641;3;
Cliente Ficticio 3452;R MIN SALGADO FILHO,    38 - PIEDADE - JABOATAO DOS GUARARAPES - PE ;10646;3;
Cliente Ficticio 3457;R MARIA ANTONINA ALVES,   186 - SAO JOAO BATISTA (VENDA NOVA) - BELO HORIZONTE - MG ;11695;3;
Cliente Ficticio 3553;R SOLON ENEAS FLORES,    60, APT 201 - NONOAI - SANTA MARIA - RS ;7281;3;
Cliente Ficticio 3617;R DR COSTA JUNIOR,338,APT 219 - AGUA BRANCA - SAO PAULO - SP ;36810;3;
Cliente Ficticio 3622;R PAULINO LIBONI,   690 - SAO JOAQUIM - FRANCA - SP ;1941;3;
Cliente Ficticio 3680;EST DO JOA,   298, APT 201 - SAO CONRADO - RIO DE JANEIRO - RJ ;42213;3;
Cliente Ficticio 3689;R BELIZARIO JOSE DA SILVA,  1156 - JARDIM AEROPORTO I - FRANCA - SP ;6234;3;
Cliente Ficticio 3700;R PEDRO CANDIDO ROMERO,    85, TOR 1, APT 1503 - GLEBA FAZENDA PALHANO - LONDRINA - PR ;21575;3;
Cliente Ficticio 3727;R CARLOS ESCOBAR,    40 - SANTANA - SAO PAULO - SP ;12538;3;
Cliente Ficticio 3733;R MARIA HELENA,   391, - VILA ENGENHO NOVO - BARUERI - SP ;12852;3;
Cliente Ficticio 3739;Q OITENTA E UM,    14, CASA A - PROMORAR - TERESINA - PI ;20374;3;
Cliente Ficticio 3779;R JESUINO PINTO BANDEIRA,    21, SALA 01 - VILA ESPERANCA - SOROCABA - SP ;16030;3;
Cliente Ficticio 3850;R DR JOAQUIM DO VALLE NETO,    65 - CHORA MENINO - SAO PAULO - SP ;24503;3;
Cliente Ficticio 3963;QUADRA,12,CJ H LT 27 - PARANOA - BRASILIA - DF ;37068;3;
Cliente Ficticio 3999;R GASTAO PINHO DE OLIVEIRA,   487 - PARQUE REAL - MOGI MIRIM - SP ;8635;3;
Cliente Ficticio 4031;R BR DE COROMANDEL,   830, APT 201 - BARREIRO - BELO HORIZONTE - MG ;12440;3;
Cliente Ficticio 4043;R LUIZ NADAL MOTTI,   319, CASA 88 - JARDIM CARVALHO - PONTA GROSSA - PR ;34466;3;
Cliente Ficticio 4047;R ALMINO AFONSO,12 - JARDIM NORMA - SAO PAULO - SP ;18391;3;
Cliente Ficticio 4048;R MONJOLEIRO,   275 - RECANTO TROPICAL - CASCAVEL - PR ;24305;3;
Cliente Ficticio 4051;AV MARTIM FRANCISCO,   134 - JARDIM CASQUEIRO - CUBATAO - SP ;11402;3;
Cliente Ficticio 4122;R MADEIRA,    76, APT 3 - CANINDE - SAO PAULO - SP ;16977;3;
Cliente Ficticio 4123;R DE JOSE BENEDITO ALMEIDA,   385 - TUPIRY - PRAIA GRANDE - SP ;15859;3;
Cliente Ficticio 4132;R PANAIOTIS MUSCULIS,551,CASA 3 - VILA LIGYA - GUARUJA - SP ;31793;3;
Cliente Ficticio 4137;R AMELIA PEREIRA,   899 - CRUZ - LORENA - SP ;14237;3;
Cliente Ficticio 4138;R JOAOZINHO,    82 - JARDIM ELIANA - GUARULHOS - SP ;4914;3;
Cliente Ficticio 4192;R NELSON VIARO,  3520 - JARDIM MARIA ROSA - FRANCA - SP ;1937;3;
Cliente Ficticio 4247;AV QUEIROS DOS SANTOS,  1843, CASA CS - CASA BRANCA - SANTO ANDRE - SP ;21123;3;
Cliente Ficticio 4261;R MANOEL TERROCILA,    18 - RESIDENCIAL PARQUE CUMBICA - GUARULHOS - SP ;19057;3;
Cliente Ficticio 4409;R ALBANO REIS,   595, CASA 1 - BOM RETIRO - CURITIBA - PR ;37528;3;
Cliente Ficticio 4411;R CEL JUCA,   227, APT 202 - MEIRELES - FORTALEZA - CE ;48269;3;
Cliente Ficticio 4412;R MATHEUS CORAZZA,   147 - CJ HAB V L GROSSO - ARACATUBA - SP ;17469;3;
Cliente Ficticio 4413;AV CDOR LEAO,   167 - JARAGUA - MACEIO - AL ;17877;3;
Cliente Ficticio 4414;R MARIA MARTINS OTTOBONI,   175 - CAMPO DOS ALEMAES - SAO JOSE DOS CAMPOS - SP ;8067;3;
Cliente Ficticio 4415;R S MATEUS,   524,   APT 102 - PORTAO - CURITIBA - PR ;37365;3;
Cliente Ficticio 4418;R PALMIRO PANIZI,   251, CASA 1 - JARDIM SOROCABA PARK - SOROCABA - SP ;29645;3;
Cliente Ficticio 4419;R DAIR BORGES,423 - BOQUEIRAO - PRAIA GRANDE - SP ;36315;3;
Cliente Ficticio 4420;R CNSO SARAIVA,920,APT 21 BL 2 - VILA CRISTINA - SAO JOSE DO RIO PRETO - SP ;16960;3;
Cliente Ficticio 4421;R ALEMANHA,    91, FD - TABOAO - DIADEMA - SP ;22565;3;
Cliente Ficticio 4422;R ZEQUINHA LEMES,  1090 - SAO ROQUE - APARECIDA - SP ;3588;3;
Cliente Ficticio 4423;R ELIAS FAUSTO,   405 - JARDIM SOL NASCENTE - PIRACICABA - SP ;26133;3;
Cliente Ficticio 4424;R SALOME QUEIROGA,   584, CASA 03 - VILA CARRAO - SAO PAULO - SP ;18491;3;
Cliente Ficticio 4425;R JACOB EMERICK,   762,   ALTOS - CENTRO - SAO VICENTE - SP ;45642;3;
Cliente Ficticio 4614;R BERILO FONSECA DORIA,   112, CASA 1 - INDUSTRIAL - ARACAJU - SE ;17938;3;
Cliente Ficticio 4640;R CORTEZ PEREIRA,   587 - CIDADE NOVA - NATAL - RN ;14637;3;
Cliente Ficticio 4757;AV CDOR ANTONIO BORIN,  2955 - CAXAMBU - JUNDIAI - SP ;16295;3;
Cliente Ficticio 4802;AV MAURO RAMOS,  1487, ED FIRENZE, APT 901 - CENTRO - FLORIANOPOLIS - SC ;10305;3;
Cliente Ficticio 4904;R NEREU RAMOS,    12 - PLANALTO PAULISTA - SAO PAULO - SP ;38781;3;
Cliente Ficticio 4917;R DO ESTILO BARROCO,   630, APT 142 - SANTO AMARO - SAO PAULO - SP ;20702;3;
Cliente Ficticio 4941;R ARTUR ALVIM,   135, CASA 3 - VILA SANTA TERESA (ZONA LESTE) - SAO PAULO - SP ;12911;3;
Cliente Ficticio 231;AV PRES WILSON,   174, BL PLAZA, APT 94 - JOSE MENINO - SANTOS - SP ;21754;4;
Cliente Ficticio 232;R PAIS DE LINHARES,    48 - JARDIM MARINGA - SAO PAULO - SP ;19822;4;
Cliente Ficticio 233;AL INGA,   262, BL A, APT 801 - VILA DA SERRA - BELO HORIZONTE - MG ;29762;4;
Cliente Ficticio 234;R MELVIN JONES,   150, ED ERICO VERISSIMO, APT 301 - CENTRO - CRICIUMA - SC ;4989;4;
Cliente Ficticio 235;AV MAJ DARIO ALVES DE CARVALHO,   295 - VILA XAVIER (VILA XAVIER) - ARARAQUARA - SP ;11473;4;
Cliente Ficticio 236;R FORTUNATO,   253, APT 41 - VILA BUARQUE - SAO PAULO - SP ;38126;4;
Cliente Ficticio 237;R PACO DO LUMIAR,   381, BL 3, APT 31 - VILA SILVIA - SAO PAULO - SP ;17009;4;
Cliente Ficticio 239;R MAL DEODORO,   505, APT 91 - CENTRO - ITU - SP ;18656;4;
Cliente Ficticio 241;AV DR WASHINGTON LUIS,   429, APT 32 - RUDGE RAMOS - SAO BERNARDO DO CAMPO - SP ;2989;4;
Cliente Ficticio 242;R ALZIRA DE ARAUJO SOUZA,   168 - ATUBA - PINHAIS - PR ;9974;4;
Cliente Ficticio 243;EST DO RIO GRANDE,  2034, BL 2, APT 711 - TAQUARA - RIO DE JANEIRO - RJ ;28357;4;
Cliente Ficticio 244;R AGUAS DE LINDOIA,    82, FU - ROCHDALE - OSASCO - SP ;10558;4;
Cliente Ficticio 245;R ARAUJO LEITE QUADRA,1853,FD - CENTRO - BAURU - SP ;5439;4;
Cliente Ficticio 246;R PE BENTO LUSTOSA,    65, BL A, APT 42 - CJ HAB PE M NOBREGA - SAO PAULO - SP ;10903;4;
Cliente Ficticio 247;R LUIZ RAZERA,1270,BL A, APT 54 - NOVA AMERICA - PIRACICABA - SP ;34710;4;
Cliente Ficticio 248;R ESCORPIAO,   550, BL 46, APT 43 - CIDADE SATELITE SANTA BARBARA - SAO PAULO - SP ;16601;4;
Cliente Ficticio 249;R PRES JOAO GOULART,210 - JARDIM ITAQUITI - BARUERI - SP ;10336;4;
Cliente Ficticio 250;R PRTA EZEQUIEL,   285 - JARDIM LAUDISSI - SANTA BARBARA D OESTE - SP ;26322;4;
Cliente Ficticio 251;R OTTO DE BARROS,   340, APT 71 - VILA SANTO ESTEFANO - SAO PAULO - SP ;7512;4;
Cliente Ficticio 252;R PE JERONIMO VERMIN,   204, BL D, APT 47 - JARDIM MARIA ESTELA - SAO PAULO - SP ;19423;4;
Cliente Ficticio 253;AV ANGELINA,278,FRENTE - VILA LEONOR - SAO PAULO - SP ;19263;4;
Cliente Ficticio 254;R PEDRO VIEIRA DA SILVA,   595, BL DEL REY BEACH, APT 52 - JARDIM SANTA GENEBRA - CAMPINAS - SP ;11021;4;
Cliente Ficticio 255;AV GERALDO ANTONIO DA SILVA,   136 - VILA BELA - TAUBATE - SP ;18660;4;
Cliente Ficticio 256;R ALM BALTAZAR,   194, BL 2, APT 410 - SAO CRISTOVAO - RIO DE JANEIRO - RJ ;19046;4;
Cliente Ficticio 257;R CAP JOSE MARIA,  1008 - JARDIM URANO - SAO JOSE DO RIO PRETO - SP ;23240;4;
Cliente Ficticio 260;R DA SERINGUEIRA,   180 - IDEAL - NOVO HAMBURGO - RS ;17994;4;
Cliente Ficticio 261;R NATALINO AMARO TEIXEIRA,    85 - VILA FACHINI - SAO PAULO - SP ;26080;4;
Cliente Ficticio 262;R BENJAMIN CONSTANT,  1354, - CORRETO, APT 401 - ESCOLA AGRICOLA - BLUMENAU - SC ;16665;4;
Cliente Ficticio 263;R CARMEM MIRANDA,   560, APT 202 - JARDIM GUANABARA - RIO DE JANEIRO - RJ ;25122;4;
Cliente Ficticio 264;R DOMINGOS JAHNEL,    23 - JARDIM DAS TULIPAS - JUNDIAI - SP ;10664;4;
Cliente Ficticio 265;R PERNAMBUCANA,   250, BL 5, APT 52 - CONCEICAO - OSASCO - SP ;22884;4;
Cliente Ficticio 266;R DOMINGOS DE ALMEIDA,  2456, APT 202 - CENTRO - URUGUAIANA - RS ;23024;4;
Cliente Ficticio 267;R DO LEBLON,    93 - JARDIM GUANABARA - AMERICANA - SP ;28527;4;
Cliente Ficticio 268;AV PRF MANOEL JOSE PEDROSO,  1352 - PARQUE BAHIA - COTIA - SP ;12567;4;
Cliente Ficticio 269;R JOSE CARLOS DE TOLEDO PIZA,   100, BL B, APT 176 - JARDIM PARQUE MORUMBI - SAO PAULO - SP ;35091;4;
Cliente Ficticio 270;R BARCELOS,2370 - CACHOEIRINHA - MANAUS - AM ;14707;4;
Cliente Ficticio 271;R PRF CARLOS CALLIOLI,    87 - PARQUE MARIA LUIZA - SAO PAULO - SP ;24123;4;
Cliente Ficticio 272;R VALENCA DO MINHO,   491, FD - JARDIM BRASILIA (ZONA LESTE) - SAO PAULO - SP ;28557;4;
Cliente Ficticio 273;R CENIRA LANDULPHO SANSON,   337 - JARDIM IPANEMA - SOROCABA - SP ;12697;4;
Cliente Ficticio 274;R SALATIEL RODRIGUES DA FONSECA,    40 - C. RES. ARARETAMA - PINDAMONHANGABA - SP ;19775;4;
Cliente Ficticio 275;R MARIO PORTELA,   161, BL C, APT 504 - LARANJEIRAS - RIO DE JANEIRO - RJ ;40564;4;
Cliente Ficticio 277;R JOANA SOARES FERREIRA,   329 - CIDADE MORUMBI - SAO JOSE DOS CAMPOS - SP ;15762;4;
